ric	curve	type	tenor   value   date    timestamp
EUROSTR=	ESTR	Deposit	1D
EUROND=	Euribor6M	Deposit	1D
EURSWD=	Euribor6M	Deposit	7D
EUR6MD=	Euribor6M	Deposit	6M
EUR1X7F=	Euribor6M	Forward-Rate-Agreement	7M
EUR2X8F=	Euribor6M	Forward-Rate-Agreement	8M
EUR3X9F=	Euribor6M	Forward-Rate-Agreement	9M
EUR4X10F=	Euribor6M	Forward-Rate-Agreement	10M
EUR6X12F=	Euribor6M	Forward-Rate-Agreement	12M
EUR9X15F=	Euribor6M	Forward-Rate-Agreement	15M
EUR12X18F=	Euribor6M	Forward-Rate-Agreement	18M
EURAB6E2Y=	Euribor6M	Swap-Rate	2Y
EURAB6E3Y=	Euribor6M	Swap-Rate	3Y
EURAB6E4Y=	Euribor6M	Swap-Rate	4Y
EURAB6E5Y=	Euribor6M	Swap-Rate	5Y
EURAB6E6Y=	Euribor6M	Swap-Rate	6Y
EURAB6E7Y=	Euribor6M	Swap-Rate	7Y
EURAB6E8Y=	Euribor6M	Swap-Rate	8Y
EURAB6E9Y=	Euribor6M	Swap-Rate	9Y
EURAB6E10Y=	Euribor6M	Swap-Rate	10Y
EURAB6E11Y=	Euribor6M	Swap-Rate	11Y
EURAB6E12Y=	Euribor6M	Swap-Rate	12Y
EURAB6E13Y=	Euribor6M	Swap-Rate	13Y
EURAB6E14Y=	Euribor6M	Swap-Rate	14Y
EURAB6E15Y=	Euribor6M	Swap-Rate	15Y
EURAB6E16Y=	Euribor6M	Swap-Rate	16Y
EURAB6E17Y=	Euribor6M	Swap-Rate	17Y
EURAB6E18Y=	Euribor6M	Swap-Rate	18Y
EURAB6E19Y=	Euribor6M	Swap-Rate	19Y
EURAB6E20Y=	Euribor6M	Swap-Rate	20Y
EURAB6E21Y=	Euribor6M	Swap-Rate	21Y
EURAB6E22Y=	Euribor6M	Swap-Rate	22Y
EURAB6E23Y=	Euribor6M	Swap-Rate	23Y
EURAB6E24Y=	Euribor6M	Swap-Rate	24Y
EURAB6E25Y=	Euribor6M	Swap-Rate	25Y
EURAB6E26Y=	Euribor6M	Swap-Rate	26Y
EURAB6E27Y=	Euribor6M	Swap-Rate	27Y
EURAB6E28Y=	Euribor6M	Swap-Rate	28Y
EURAB6E29Y=	Euribor6M	Swap-Rate	29Y
EURAB6E30Y=	Euribor6M	Swap-Rate	30Y
EURAB6E40Y=	Euribor6M	Swap-Rate	40Y
EURAB6E50Y=	Euribor6M	Swap-Rate	50Y
EURESTSW=	ESTR	Swap-Rate	7D
EUREST2W=	ESTR	Swap-Rate	14D
EUREST3W=	ESTR	Swap-Rate	21D
EUREST1M=	ESTR	Swap-Rate	1M
EUREST2M=	ESTR	Swap-Rate	2M
EUREST3M=	ESTR	Swap-Rate	3M
EUREST4M=	ESTR	Swap-Rate	4M
EUREST5M=	ESTR	Swap-Rate	5M
EUREST6M=	ESTR	Swap-Rate	6M
EUREST7M=	ESTR	Swap-Rate	7M
EUREST8M=	ESTR	Swap-Rate	8M
EUREST9M=	ESTR	Swap-Rate	9M
EUREST1Y=	ESTR	Swap-Rate	1Y
EUREST15M=	ESTR	Swap-Rate	15M
EUREST18M=	ESTR	Swap-Rate	18M
EUREST21M=	ESTR	Swap-Rate	21M
EUREST2Y=	ESTR	Swap-Rate	2Y
EUREST3Y=	ESTR	Swap-Rate	3Y
EUREST4Y=	ESTR	Swap-Rate	4Y
EUREST5Y=	ESTR	Swap-Rate	5Y
EUREST6Y=	ESTR	Swap-Rate	6Y
EUREST7Y=	ESTR	Swap-Rate	7Y
EUREST8Y=	ESTR	Swap-Rate	8Y
EUREST9Y=	ESTR	Swap-Rate	9Y
EUREST10Y=	ESTR	Swap-Rate	10Y
EUREST11Y=	ESTR	Swap-Rate	11Y
EUREST12Y=	ESTR	Swap-Rate	12Y
EUREST15Y=	ESTR	Swap-Rate	15Y
EUREST20Y=	ESTR	Swap-Rate	20Y
EUREST25Y=	ESTR	Swap-Rate	25Y
EUREST30Y=	ESTR	Swap-Rate	30Y
